Date,Open,High,Low,Close,Adj Close,Volume
2009-12-01,1.502857,1.560714,1.5,1.550714,1.034021,90384000
2009-12-02,1.542857,1.564286,1.529286,1.538571,1.025924,51324000
2009-12-03,1.538571,1.56,1.497143,1.502143,1.001633,47824000
2009-12-04,1.495714,1.512143,1.483571,1.510714,1.007349,44485000
2009-12-05,1.492857,1.510714,1.480714,1.489286,0.99306,46544400
2009-12-06,1.484286,1.505714,1.457857,1.503571,1.002586,37059400
2009-12-07,1.512143,1.517857,1.457143,1.460714,0.974009,33786200
2009-12-08,1.460714,1.472143,1.425714,1.455714,0.970675,67834200
2009-12-09,1.446429,1.524286,1.443571,1.515,1.010206,45784200
2009-12-10,1.522857,1.522857,1.478571,1.492143,0.994965,48168400
2009-12-11,1.535,1.535,1.433571,1.440714,0.960672,97227200
2009-12-12,1.442143,1.463571,1.429286,1.437143,0.958291,93489200
2009-12-13,1.434286,1.437857,1.413571,1.42,0.94686,68565000
2009-12-14,1.421429,1.441429,1.421429,1.431429,0.954481,82728800
2009-12-15,1.442143,1.458571,1.401429,1.407143,0.938287,113390200
2009-12-16,1.403571,1.420714,1.375,1.417857,0.945432,94266200
2009-12-17,1.422857,1.425,1.4,1.415,0.943526,77124600
2009-12-18,1.408571,1.470714,1.403571,1.457857,0.972104,44368800
2009-12-19,1.453571,1.493571,1.452857,1.484286,0.989726,25923800
2009-12-20,1.493571,1.511429,1.49,1.510714,1.007349,58364600
2009-12-21,1.512857,1.535714,1.510714,1.52,1.013541,51213400
2009-12-22,1.525,1.537857,1.512857,1.526429,1.017827,43612800
2009-12-23,1.539286,1.553571,1.512857,1.52,1.013541,36160600
2009-12-24,1.53,1.599286,1.53,1.583571,1.05593,98754600
2009-12-25,1.589286,1.601429,1.550714,1.577857,1.05212,127337000
2009-12-26,1.578571,1.630714,1.566429,1.613571,1.075934,146718600
2009-12-27,1.631429,1.695,1.617857,1.668571,1.112609,115075800
2009-12-28,1.659286,1.723571,1.627857,1.642857,1.095462,106864800
2009-12-29,1.660714,1.714286,1.65,1.695,1.130231,121886800
2009-12-30,1.764286,1.774286,1.704286,1.722857,1.148806,169754200
2009-12-31,1.742857,1.752857,1.698571,1.728571,1.152617,155010800
2010-01-01,1.636429,1.671429,1.607143,1.632143,1.088318,254552200
2010-01-02,1.635,1.645714,1.615,1.622857,1.082126,93205000
2010-01-03,1.619286,1.628571,1.589286,1.623571,1.082602,78986600
2010-01-04,1.621429,1.640714,1.602143,1.615,1.076887,56665000
2010-01-05,1.611429,1.630714,1.584286,1.584286,1.056406,51251200
2010-01-06,1.601429,1.624286,1.589286,1.611429,1.074505,56792400
2010-01-07,1.604286,1.647143,1.602143,1.643571,1.095938,67817400
2010-01-08,1.645714,1.660714,1.628571,1.647857,1.098796,76767600
2010-01-09,1.631429,1.67,1.600714,1.608571,1.0726,68850600
2010-01-10,1.616429,1.628571,1.585,1.62,1.080221,53174800
2010-01-11,1.617857,1.633571,1.601429,1.611429,1.074505,46324600
2010-01-12,1.604286,1.629286,1.577143,1.594286,1.063075,71857800
2010-01-13,1.592857,1.6,1.571429,1.59,1.060217,45203200
2010-01-14,1.571429,1.577857,1.55,1.556429,1.037831,76388200
2010-01-15,1.558571,1.636429,1.557857,1.601429,1.067837,88211200
2010-01-16,1.603571,1.635,1.6,1.622143,1.08165,48335000
2010-01-17,1.615714,1.632857,1.607143,1.619286,1.079745,47065200
2010-01-18,1.615714,1.651429,1.602857,1.641429,1.09451,63835800
2010-01-19,1.649286,1.705,1.646429,1.7,1.133565,87136000
2010-01-20,1.686429,1.713571,1.685714,1.695,1.130231,45997000
2010-01-21,1.703571,1.721429,1.630714,1.642857,1.095462,78995000
2010-01-22,1.65,1.677857,1.65,1.654286,1.103083,42739200
2010-01-23,1.655714,1.674286,1.646429,1.661429,1.107846,35408800
2010-01-24,1.666429,1.688571,1.600714,1.605,1.070219,80770200
2010-01-25,1.607143,1.607857,1.586429,1.6,1.066885,69400800
2010-01-26,1.595714,1.604286,1.563571,1.585,1.056883,48519800
2010-01-27,1.581429,1.624286,1.571429,1.597143,1.06498,64764000
2010-01-28,1.591429,1.635714,1.586429,1.629286,1.086413,69069000
2010-01-29,1.634286,1.655714,1.628571,1.645714,1.097367,49602000
2010-01-30,1.64,1.715714,1.639286,1.708571,1.13928,117209400
2010-01-31,1.721429,1.735714,1.705,1.715714,1.144043,80420200
2010-02-01,1.714286,1.721429,1.697857,1.700714,1.134041,64171800
2010-02-02,1.685714,1.727857,1.685714,1.708571,1.13928,56282800
2010-02-03,1.709286,1.801429,1.707857,1.797143,1.19834,165055800
2010-02-04,1.782143,1.963571,1.778571,1.91,1.273594,385149800
2010-02-05,1.901429,1.913571,1.842857,1.857143,1.238348,130718000
2010-02-06,1.85,1.945,1.839286,1.935714,1.29074,154590800
2010-02-07,1.931429,2.01,1.924286,1.977143,1.318365,251741000
2010-02-08,1.947857,2.002857,1.935,1.939286,1.293122,148962800
2010-02-09,1.951429,1.984286,1.940714,1.968571,1.312649,82306000
2010-02-10,1.930714,1.953571,1.875714,1.889286,1.259781,120429400
2010-02-11,1.896429,1.900714,1.813571,1.844286,1.229775,151358200
2010-02-12,1.854286,1.884286,1.841429,1.870714,1.247398,102858000
2010-02-13,1.852857,1.861429,1.827857,1.833571,1.222631,80270400
2010-02-14,1.825714,1.924286,1.824286,1.847143,1.231681,102144000
2010-02-15,1.812143,1.869286,1.803571,1.847143,1.231681,104757800
2010-02-16,1.848571,1.857143,1.801429,1.806429,1.204532,96378800
2010-02-17,1.805,1.839286,1.805,1.821429,1.214534,107053800
2010-02-18,1.867143,1.922143,1.849286,1.919286,1.279786,141611400
2010-02-19,1.928571,1.954286,1.922143,1.931429,1.287883,104973400
2010-02-20,1.955,1.999286,1.942857,1.993571,1.32932,87682000
2010-02-21,1.981429,1.996429,1.952857,1.994286,1.329796,89919200
2010-02-22,1.994286,1.998571,1.925,1.931429,1.287883,97693400
2010-02-23,1.920714,1.947857,1.901429,1.936429,1.291217,79583000
2010-02-24,1.982143,1.995,1.945,1.964286,1.309791,68619600
2010-02-25,1.962857,2.026428,1.96,2.022857,1.348847,96418000
2010-02-26,1.979286,2.010714,1.959286,1.987857,1.325509,64498000
2010-02-27,1.972143,1.978571,1.922857,1.950714,1.300742,63779800
2010-02-28,1.991429,2,1.942857,1.966429,1.311221,60229400
2010-03-01,1.964286,2.007143,1.963571,2.002857,1.335511,57635200
2010-03-02,1.998571,2.002143,1.917143,1.923571,1.282643,109099200
2010-03-03,1.91,1.933571,1.879286,1.902857,1.268831,159933200
2010-03-04,2.058571,2.112857,2.011429,2.092857,1.395523,440361600
2010-03-05,2.082143,2.093571,2.035714,2.084286,1.389808,100732800
2010-03-06,2.008571,2.053571,1.987857,2.025,1.350276,178088400
2010-03-07,2.015,2.029286,1.968571,1.980714,1.320746,88629800
2010-03-08,1.971429,2.008571,1.955,1.980714,1.320746,81468800
2010-03-09,1.968571,2.012857,1.936429,1.984286,1.323128,86146200
2010-03-10,1.978571,2,1.932143,1.978571,1.319317,78957200
2010-03-11,1.97,1.974286,1.928571,1.937857,1.292169,57782200
2010-03-12,1.945714,1.96,1.906429,1.924286,1.283119,70966000
2010-03-13,1.915714,1.929286,1.881429,1.889286,1.259781,57792000
2010-03-14,1.889286,1.928571,1.855714,1.912143,1.275023,115197600
2010-03-15,1.907857,1.925714,1.820714,1.841429,1.22787,116625600
2010-03-16,1.857143,1.880714,1.838571,1.862143,1.241683,74408600
2010-03-17,1.855,1.896429,1.821429,1.867143,1.245017,69995800
2010-03-18,1.871429,1.910714,1.854286,1.903571,1.269307,59526600
2010-03-19,1.885714,1.910714,1.85,1.898571,1.265973,65889600
2010-03-20,1.896429,1.969286,1.896429,1.905,1.27026,104759200
2010-03-21,1.876429,1.9,1.852857,1.877143,1.251685,62494600
2010-03-22,1.885714,1.942143,1.885714,1.938571,1.292645,76293000
2010-03-23,1.913571,1.952857,1.874286,1.95,1.300266,61355000
2010-03-24,1.935714,1.98,1.921429,1.942143,1.295026,57463000
2010-03-25,1.946429,1.951429,1.889286,1.932857,1.288835,64450400
2010-03-26,1.907143,1.932857,1.882857,1.902857,1.268831,75111400
2010-03-27,1.926429,1.949286,1.914286,1.932857,1.288835,51515800
2010-03-28,1.957143,1.964286,1.887143,1.890714,1.260734,93898000
2010-03-29,1.902143,1.928571,1.890714,1.907857,1.272165,49074200
2010-03-30,1.921429,1.942857,1.909286,1.936429,1.291217,44973600
2010-03-31,1.949286,1.992857,1.936429,1.952857,1.302171,58900800
2010-04-01,1.964286,2.036429,1.949286,2.029286,1.353134,79994600
2010-04-02,2.023571,2.055714,2,2.036429,1.357897,80542000
2010-04-03,2.032857,2.042857,1.987143,2.012143,1.341703,58993200
2010-04-04,2.005714,2.019286,1.985714,2.004286,1.336464,36429400
